Fruit,Date,EU,EU+UK,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
Apricots,2020/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2020/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2020/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2020/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/09,95.8465,95.8465,,,,,,,,,100,,,92.5,,,,,101.392,,,,,,,,,,,
Apricots,2019/08,127.5542,127.5542,,,,,,,,126,114.302,159.625,,117,,,,,103.6005,,,,,,,,,,,
Apricots,2019/07,113.8728,113.8728,,,,,,,,90.248,107.852,164.584,,92.5368,,,,,91.9832,,,,,,,,,,,
Apricots,2019/06,123.4354,123.4354,,,,,,,,83.296,105.922,184.45,,106.748,,,,,121.733,,,,,,,,,,,
Apricots,2019/05,160.21,160.21,,,,,,,,170.9725,98.4175,208.75,,165.8255,,,,,,,,,,,,,,,,
Apricots,2019/04,175,175,,,,,,,,,,,,175,,,,,,,,,,,,,,,,
Apricots,2019/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2019/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/09,80,80,,,,,,,,,,,,80,,,,,,,,,,,,,,,,
Apricots,2018/08,128.8294,128.8294,,,,,,,,107.25,94.47,175.665,,127,,,,,133.1309,,,,,,,,,,,
Apricots,2018/07,112.7574,112.7574,,,,,,,,90.8267,76.3183,174.3333,,100.5556,,,,,137.4281,,,,,,,,,,,
Apricots,2018/06,119.1063,119.1063,,,,,,,,75.434,72.934,214.95,,96.6667,,,,,149.1435,,,,,,,,,,,
Apricots,2018/05,186.4963,186.4963,,,,,,,,138.56,144.472,271.25,,175,,,,,160.1189,,,,,,,,,,,
Apricots,2018/04,352.17,352.17,,,,,,,,,352.17,,,,,,,,,,,,,,,,,,,
Apricots,2018/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2018/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2017/12,151.0809,,,,,,,,,,,,,,,,,,151.0809,,,,,,,,,,,
Apricots,2017/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2017/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2017/09,128.2292,128.2292,,,,,,,,,,,,,,,,,128.2292,,,,,,,,,,,
Apricots,2017/08,94.7725,94.7725,,,,,,,,63,68.14,135,,92.5,,,,,135.8396,,,,,,,,,,,
Apricots,2017/07,88.409,88.2387,,,,,,,,65.7,80.4346,132.8947,,68.6508,,,,,112.0832,,,,,,,,,,,
Apricots,2017/06,93.2391,93.2391,,,,,,,,66.7,85.8837,148.5714,,64.4231,,,,,145.3812,,,,,,,,,,,
Apricots,2017/05,129.7866,129.7866,,,,,,,,148.8,126.1396,196,,80,,,,,,,,,,,,,,,,
Apricots,2017/04,218,218,,,,,,,,,218,,,,,,,,,,,,,,,,,,,
Apricots,2017/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2017/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2017/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/09,153.0765,153.0765,,,,,,,,,,,,,,,,,153.0765,,,,,,,,,,,
Apricots,2016/08,143.8322,143.8322,,,,,,,,100.5,,201.7647,,120,,,,,120.3757,,,,,,,,,,,
Apricots,2016/07,129.8463,129.8463,,106.7338,,,,,,91.5,117.1563,209.5,,99.0385,,,,,95.6656,,,,,,,,,,,
Apricots,2016/06,143.1362,143.1362,,93.3125,,,,,,81.4,109.1896,231.1364,,126.3462,,,,,142.7757,,,,,,,,,,,
Apricots,2016/05,207.8114,207.8114,,,,,,,,165.25,205.5007,285,,170,,,,,,,,,,,,,,,,
Apricots,2016/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2016/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/09,90,90,,,,,,,,90,,,,,,,,,,,,,,,,,,,,
Apricots,2015/08,144.1844,144.1844,,,,,,,,89.1,,171.875,,,,,,,133.7676,,,,,,,,,,,
Apricots,2015/07,103.4357,103.4357,,119.5163,,,,,,82.5,60,178.5714,,86.9444,,,,,120.3713,,,,,,,,,,,
Apricots,2015/06,137.6461,137.6461,,,,,,,,125,118.6793,223.6364,,94.875,,,,,142.9534,,,,,,,,,,,
Apricots,2015/05,230.1972,230.1972,,,,,,,,189.8333,199.7691,280,,,,,,,,,,,,,,,,,,
Apricots,2015/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2015/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/09,106.389,106.389,,,,,,,,,,,,,,,,,106.389,,,,,,,,,,,
Apricots,2014/08,115.0088,115.0088,,,,,,,,99,,140,,102.5,,,,,120.8904,,,,,,,,,,,
Apricots,2014/07,108.0324,108.0324,,143.16,,,,,,89.5833,,137.75,,94.4907,,,,,95.511,,,,,,,,,,,
Apricots,2014/06,123.733,123.733,,,,,,,,107.2,102.6125,182,,105,,,,,105.1055,,,,,,,,,,,
Apricots,2014/05,209.6614,209.6614,,,,,,,,143.875,187.0114,263.8889,,,,,,,,,,,,,,,,,,
Apricots,2014/04,350,350,,,,,,,,,350,,,,,,,,,,,,,,,,,,,
Apricots,2014/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2014/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/08,111.2775,111.2775,,,,,,,,38,,191.4286,,80,,,,,111.7917,,,,,,,,,,,
Apricots,2013/07,139.4275,139.4275,,95.8675,,,,,,76.5833,110,203,,140.0926,,,,,99.735,,,,,,,,,,,
Apricots,2013/06,194.6535,194.6535,,76.6925,,,,,,104.1,161.875,308,,172.3958,,,,,156.4926,,,,,,,,,,,
Apricots,2013/05,226.8514,226.8514,,,,,,,,188,245.5,,,,,,,,,,,,,,,,,,,
Apricots,2013/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2013/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,2012/08,121.4309,121.4309,,,,,,,,85.5,98.9014,159.1176,,,,,,,138.8455,,,,,,,,,,,
